fips,state_fips,county_fips,areaname,state_name,county_name,fipsst,fipsco,region,division,pop1970,pop1971,pop1972,pop1973,pop1974,pop1975,pop1976,pop1977,pop1978,pop1979,pop1980,pop1981,pop1982,pop1983,pop1984,pop1985,pop1986,pop1987,pop1988,pop1989,pop1990,pop1991,pop1992,pop1993,pop1994,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop19904,pop20104,base20104,pop2010,pop2011,pop2012,pop2013,pop2014
13000,13,0,Georgia,Georgia,Georgia,13,000,3,5,4587930,4710000,4807000,4907000,4995000,5058000,5126000,5212000,5286000,5391000,5462989,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6506531,6621279,6759474,6894092,7045900,7188538,7332225,7486094,7636522,7788240,8230161,8419594,8585535,8735259,8913676,9097428,9330086,9533761,9697838,9829211,6478149,NA,NA,NA,NA,NA,NA,NA
13001,13,13001,"Appling County, Georgia",Georgia,Appling County,13,13001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18236,18236,18337,18458,18379,18391,18540
13001,13,1,Appling County,Georgia,Appling County,13,001,3,5,12726,13300,13600,14400,14500,14800,15200,15500,15500,15200,15565,15362,15601,15787,15977,15857,15745,15719,15814,15749,15758,15935,16018,16053,16038,16182,16294,16386,16547,16675,17408,17458,17513,17729,17726,17713,17682,17905,18044,18011,15744,NA,NA,NA,NA,NA,NA,NA
13003,13,3,Atkinson County,Georgia,Atkinson County,13,003,3,5,5879,5700,5800,5900,6000,6000,6100,6100,6200,6100,6141,6180,6177,6132,6196,6332,6373,6298,6265,6231,6216,6204,6265,6481,6588,6749,6959,7137,7158,7295,7610,7627,7708,7923,7893,7976,8049,8165,8198,8230,6213,NA,NA,NA,NA,NA,NA,NA
13003,13,13003,"Atkinson County, Georgia",Georgia,Atkinson County,13,13003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8375,8382,8365,8364,8247,8287,8223
13005,13,13005,"Bacon County, Georgia",Georgia,Bacon County,13,13005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11096,11096,11090,11191,11186,11230,11281
13005,13,5,Bacon County,Georgia,Bacon County,13,005,3,5,8233,8500,8600,8900,8900,9100,9200,9400,9300,9200,9379,9477,9577,9648,9734,9718,9732,9884,9701,9620,9579,9602,9783,10067,10301,10356,10373,10314,10364,10365,10122,10098,10008,10091,10059,10277,10345,10564,10532,10601,9566,NA,NA,NA,NA,NA,NA,NA
13007,13,7,Baker County,Georgia,Baker County,13,007,3,5,3875,3600,3700,3900,3800,3700,3800,3800,3900,3800,3808,3796,3916,3870,3779,3827,3793,3783,3690,3647,3606,3685,3622,3723,3684,3744,3693,3719,3627,3617,4053,4038,3954,4154,4056,3996,3902,3744,3772,3637,3615,NA,NA,NA,NA,NA,NA,NA
13007,13,13007,"Baker County, Georgia",Georgia,Baker County,13,13007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,3451,3443,3323,3369,3321,3255
13009,13,13009,"Baldwin County, Georgia",Georgia,Baldwin County,13,13009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45720,45835,45685,45081,46455,46139,45909
13009,13,9,Baldwin County,Georgia,Baldwin County,13,009,3,5,34240,34900,33900,34200,34300,35700,34600,34800,33800,34500,34686,35366,36758,37242,37478,38241,38520,38897,39345,39465,39567,39948,40344,40958,41050,41411,41660,41902,41883,42181,44738,44716,45061,45136,45446,45699,45754,46521,46950,46337,39530,NA,NA,NA,NA,NA,NA,NA
13011,13,13011,"Banks County, Georgia",Georgia,Banks County,13,13011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18395,18395,18403,18330,18232,18325,18295
13011,13,11,Banks County,Georgia,Banks County,13,011,3,5,6833,6800,7100,7100,7200,7400,7600,8100,8200,8400,8702,8719,8927,9023,9283,9473,9640,9928,10155,10155,10360,10444,10686,10809,11020,11489,11867,12475,12821,13166,14504,14841,15136,15332,15593,15913,16121,16443,16665,16799,10308,NA,NA,NA,NA,NA,NA,NA
13013,13,13,Barrow County,Georgia,Barrow County,13,013,3,5,16859,17500,18500,18600,19200,19600,19700,20000,20300,20900,21354,21952,22371,23046,23872,24757,25781,26574,27376,28656,30054,31067,32014,33144,34440,35706,37435,38909,40438,41891,46561,48461,50982,53069,56198,59390,63317,67170,70255,72158,29721,NA,NA,NA,NA,NA,NA,NA
13013,13,13013,"Barrow County, Georgia",Georgia,Barrow County,13,13013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69367,69367,69681,69846,70171,71425,73240
13015,13,13015,"Bartow County, Georgia",Georgia,Bartow County,13,13015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100157,100157,100113,100242,100477,101289,101736
13015,13,15,Bartow County,Georgia,Bartow County,13,015,3,5,32911,34500,35700,37000,37400,37800,38300,39100,39300,40000,40760,41391,42427,43366,44418,45973,48223,50623,52535,54413,56372,58026,59358,59900,61497,63620,66231,69216,71937,74607,76703,79513,82246,84440,86145,88150,90369,92717,94999,96217,55915,NA,NA,NA,NA,NA,NA,NA
13017,13,13017,"Ben Hill County, Georgia",Georgia,Ben Hill County,13,13017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17634,17634,17639,17599,17545,17490,17464
13017,13,17,Ben Hill County,Georgia,Ben Hill County,13,017,3,5,13171,13300,13600,14000,14300,14400,14500,14900,15200,15500,16000,16254,16361,16383,16519,16784,16712,16690,16663,16482,16215,16565,16626,16757,17069,17305,17326,17372,17471,17474,17473,17304,17168,17066,17076,17214,17505,17724,17665,17567,16245,NA,NA,NA,NA,NA,NA,NA
13019,13,19,Berrien County,Georgia,Berrien County,13,019,3,5,11556,11900,12300,12400,12700,12700,13000,13300,13600,13600,13525,13713,13798,13850,13968,13955,13818,14102,14160,14200,14163,14259,14413,14753,15150,15491,15722,15938,16317,16529,16250,16166,16243,16375,16519,16616,16699,16690,17022,17044,14153,NA,NA,NA,NA,NA,NA,NA
13019,13,13019,"Berrien County, Georgia",Georgia,Berrien County,13,13019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19286,19286,19345,19342,19063,19005,18700
13021,13,13021,"Bibb County, Georgia",Georgia,Bibb County,13,13021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155547,155510,155630,155850,156184,154615,153905
13021,13,21,Bibb County,Georgia,Bibb County,13,021,3,5,143366,145800,147200,147600,147500,149100,148800,150700,151300,151100,150256,150970,151671,152557,152467,151974,151310,150888,151281,150797,150288,151527,152031,153635,154345,154332,155061,156084,155946,155441,153854,153630,153979,153875,154388,154272,154870,154891,155079,156060,150137,NA,NA,NA,NA,NA,NA,NA
13023,13,13023,"Bleckley County, Georgia",Georgia,Bleckley County,13,13023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13063,13063,13054,13059,12897,12755,12795
13023,13,23,Bleckley County,Georgia,Bleckley County,13,023,3,5,10291,10600,10800,10600,10600,10700,10800,10700,10800,10900,10767,10859,10776,10725,10684,10613,10424,10406,10337,10342,10456,10542,10577,10650,10733,10949,10892,11074,11157,11314,11677,11783,11682,11779,11945,12039,12422,12827,12777,12855,10430,NA,NA,NA,NA,NA,NA,NA
13025,13,25,Brantley County,Georgia,Brantley County,13,025,3,5,5940,6000,6200,6600,6900,7000,7200,7200,7300,7700,8701,8933,9191,9222,9497,9705,10158,10399,10587,10873,11111,11222,11537,11846,12328,12612,12908,13273,13528,13895,14668,14831,15055,15162,15224,15272,15363,15434,15496,15643,11077,NA,NA,NA,NA,NA,NA,NA
13025,13,13025,"Brantley County, Georgia",Georgia,Brantley County,13,13025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18411,18410,18465,18581,18555,18299,18417
13027,13,13027,"Brooks County, Georgia",Georgia,Brooks County,13,13027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16243,16324,16278,15968,15537,15631,15418
13027,13,27,Brooks County,Georgia,Brooks County,13,027,3,5,13743,14100,14500,14300,14400,14600,14800,14400,14300,15100,15255,15290,15455,15518,15489,15472,15448,15458,15523,15521,15374,15470,15419,15737,15599,15774,15725,15799,15914,16122,16457,16308,16247,16072,16142,16114,16327,16344,16481,16354,15398,NA,NA,NA,NA,NA,NA,NA
13029,13,29,Bryan County,Georgia,Bryan County,13,029,3,5,6539,6800,7100,7600,8100,8400,8700,8800,9100,9700,10175,10569,10569,10979,11222,11650,12299,13227,14173,14786,15665,16353,17487,18794,19961,21157,22209,23119,23395,24394,23509,24111,24862,25847,27030,27793,28808,30084,31301,32559,15438,NA,NA,NA,NA,NA,NA,NA
13029,13,13029,"Bryan County, Georgia",Georgia,Bryan County,13,13029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30233,30238,30401,31238,32246,33133,33906
13031,13,31,Bulloch County,Georgia,Bulloch County,13,031,3,5,31585,32100,32500,32800,32800,32700,33400,33900,34300,35400,35785,36717,37277,37682,37755,38600,39348,40363,41210,42320,43317,44184,45340,46526,47666,48362,49236,49869,50554,50777,56223,57019,57683,59694,61274,63548,64860,66412,67795,69213,43125,NA,NA,NA,NA,NA,NA,NA
13031,13,13031,"Bulloch County, Georgia",Georgia,Bulloch County,13,13031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70217,70217,70638,72842,72824,71308,72087
13033,13,33,Burke County,Georgia,Burke County,13,033,3,5,18255,18300,18200,18500,18300,18700,18700,19300,19400,19200,19349,19611,19912,20510,20419,20796,21282,20905,20982,20767,20540,20594,20951,21322,21481,21652,21846,22460,22825,23217,22276,22640,22674,22684,22818,22843,22731,22823,22840,22797,20579,NA,NA,NA,NA,NA,NA,NA
13033,13,13033,"Burke County, Georgia",Georgia,Burke County,13,13033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23316,23316,23360,23559,23128,22925,22709
13035,13,35,Butts County,Georgia,Butts County,13,035,3,5,10560,11000,11100,12300,12500,12700,13000,13100,13500,13700,13665,13717,14598,14412,14410,14550,14710,15275,15334,15241,15409,15534,15642,15867,15645,16030,16546,17238,17822,18380,19737,20364,21232,21816,22026,22453,23101,23644,24388,24392,15326,NA,NA,NA,NA,NA,NA,NA
13035,13,13035,"Butts County, Georgia",Georgia,Butts County,13,13035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23655,23655,23739,23562,23454,23222,23368
13037,13,37,Calhoun County,Georgia,Calhoun County,13,037,3,5,6606,6100,6100,6300,6400,6300,6200,6100,6000,5900,5717,5737,5672,5596,5520,5477,5397,5228,5131,5046,4999,4979,4859,4966,4938,4916,4918,5065,5002,4936,6322,6233,6261,6147,6127,6035,6086,5988,6152,6306,5013,NA,NA,NA,NA,NA,NA,NA
13037,13,13037,"Calhoun County, Georgia",Georgia,Calhoun County,13,13037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6694,6694,6712,6549,6502,6517,6463
13039,13,13039,"Camden County, Georgia",Georgia,Camden County,13,13039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50513,50513,50689,50332,51402,51517,52027
13039,13,39,Camden County,Georgia,Camden County,13,039,3,5,11334,11700,11400,11600,11400,11400,11300,11200,11000,12400,13371,14707,16093,16971,17797,18530,20309,22003,23906,27841,30795,34163,37568,39663,41190,40697,42953,45571,47322,47032,43758,44515,45609,44477,45215,45798,45601,47365,47973,48277,30167,NA,NA,NA,NA,NA,NA,NA
13043,13,13043,"Candler County, Georgia",Georgia,Candler County,13,13043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10998,10998,11017,11304,11125,10944,10888
13043,13,43,Candler County,Georgia,Candler County,13,043,3,5,6412,6300,6400,6600,6700,7000,7100,7200,7300,7300,7518,7504,7610,7636,7609,7560,7502,7530,7581,7616,7778,7940,8023,8259,8444,8581,8614,8869,9099,8953,9581,9439,9761,9889,9966,10049,10246,10432,10495,10680,7744,NA,NA,NA,NA,NA,NA,NA
13045,13,13045,"Carroll County, Georgia",Georgia,Carroll County,13,13045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110527,110591,110704,110722,111453,112388,114093
13045,13,45,Carroll County,Georgia,Carroll County,13,045,3,5,45404,47800,50100,51900,53200,54100,54800,55000,55100,55900,56346,57818,59634,61069,62069,63609,65134,67412,69289,70181,71869,72944,73799,74866,76452,77898,79545,81124,82904,84765,88009,91572,94874,98511,101304,104465,108255,111928,113781,114778,71422,NA,NA,NA,NA,NA,NA,NA
13047,13,13047,"Catoosa County, Georgia",Georgia,Catoosa County,13,13047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63942,63940,64020,64839,64961,65335,65621
13047,13,47,Catoosa County,Georgia,Catoosa County,13,047,3,5,28271,29100,30200,31300,31800,31800,32900,33600,34600,35600,36991,37537,37943,38074,38490,39332,39633,40551,41360,41981,42691,43319,44228,45260,46354,47879,48266,49386,50709,52100,53626,54694,56060,57595,58831,59668,60999,62457,63215,64035,42464,NA,NA,NA,NA,NA,NA,NA
13049,13,13049,"Charlton County, Georgia",Georgia,Charlton County,13,13049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12171,12171,12831,13410,13308,13044,12897
13049,13,49,Charlton County,Georgia,Charlton County,13,049,3,5,5680,6100,6200,6500,6600,6800,7100,7200,7500,7400,7343,7419,7554,7659,7892,7920,8060,8357,8399,8502,8493,8598,8802,9044,9186,9174,9275,9264,9433,9462,10270,10446,10494,10648,10541,10582,10767,10592,10833,10725,8496,NA,NA,NA,NA,NA,NA,NA
13051,13,51,Chatham County,Georgia,Chatham County,13,051,3,5,187816,182200,182800,182000,181300,188500,194100,199400,199700,201700,202226,205910,209224,209381,210545,211565,212854,215015,216061,215986,217365,219148,221850,223685,225307,225823,225423,225505,225297,225662,232347,233592,235712,236488,238992,239889,243761,248596,251151,256992,216774,NA,NA,NA,NA,NA,NA,NA
13051,13,13051,"Chatham County, Georgia",Georgia,Chatham County,13,13051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265128,265133,265996,272002,276710,278428,283379
13053,13,53,Chattahoochee County,Georgia,Chattahoochee County,13,053,3,5,25813,20300,14800,15000,16800,17400,19500,16400,22400,21900,21732,19927,21329,20551,20044,19408,18539,18186,18433,17469,16787,15191,16414,15958,15674,15925,16130,16337,16408,16654,14990,15974,19189,17448,17497,16275,13463,13905,13774,14402,16934,NA,NA,NA,NA,NA,NA,NA
13053,13,13053,"Chattahoochee County, Georgia",Georgia,Chattahoochee County,13,13053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11267,11267,11179,11293,12570,12350,11837
13055,13,55,Chattooga County,Georgia,Chattooga County,13,055,3,5,20541,21400,21300,21800,22300,22300,22300,22500,22000,22000,21856,21892,21732,21690,21814,21798,21885,22001,22155,22295,22233,22372,22381,22561,22720,22824,22892,22897,22748,22858,25495,25819,25922,26276,25910,25956,26168,26870,26845,26619,22236,NA,NA,NA,NA,NA,NA,NA
13055,13,13055,"Chattooga County, Georgia",Georgia,Chattooga County,13,13055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26015,26015,25980,25705,25676,25120,24939
13057,13,57,Cherokee County,Georgia,Cherokee County,13,057,3,5,31059,32700,34700,36700,39300,40600,42600,44300,45800,49100,51699,54327,56171,58695,61861,66476,71560,77813,82872,87048,91393,96818,101917,103226,108930,114743,121187,127110,134352,141686,143783,151348,159006,165961,173692,182858,194219,203890,210115,215084,90204,NA,NA,NA,NA,NA,NA,NA
13057,13,13057,"Cherokee County, Georgia",Georgia,Cherokee County,13,13057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214346,214346,215216,217770,220914,224869,230985
13059,13,13059,"Clarke County, Georgia",Georgia,Clarke County,13,13059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116714,116707,117484,118509,120270,121206,120938
13059,13,59,Clarke County,Georgia,Clarke County,13,059,3,5,65177,67100,69800,73100,74200,74100,71300,71300,71600,72600,74498,77033,77682,78923,80032,81146,81673,83102,84668,86518,87820,87997,88345,88751,90206,89954,90218,90696,90516,90638,101972,103471,104241,105840,109289,109083,111524,113457,115154,116342,87594,NA,NA,NA,NA,NA,NA,NA
13061,13,13061,"Clay County, Georgia",Georgia,Clay County,13,13061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3183,3183,3160,3150,3102,3037,3102
13061,13,61,Clay County,Georgia,Clay County,13,061,3,5,3636,3500,3700,3700,3600,3500,3600,3600,3600,3600,3553,3554,3526,3479,3513,3509,3414,3383,3421,3426,3346,3347,3405,3450,3428,3405,3398,3461,3493,3524,3366,3361,3298,3275,3202,3158,3162,3181,3164,3113,3364,NA,NA,NA,NA,NA,NA,NA
13063,13,63,Clayton County,Georgia,Clayton County,13,063,3,5,98126,106800,112900,123500,132000,134200,136400,140700,143500,148500,150357,154521,155788,157971,160740,164026,167497,170945,174611,179221,182416,184895,187920,190957,194809,198397,201748,204800,208997,213727,238383,247251,252560,257983,262316,264866,268907,272705,276009,275772,181436,NA,NA,NA,NA,NA,NA,NA
13063,13,13063,"Clayton County, Georgia",Georgia,Clayton County,13,13063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259424,259467,259824,262643,266253,264843,267542
13065,13,65,Clinch County,Georgia,Clinch County,13,065,3,5,6405,6500,6300,6500,6500,6500,6600,6500,6500,6600,6660,6690,6599,6601,6604,6575,6546,6495,6276,6233,6156,6242,6235,6345,6440,6455,6564,6590,6649,6677,6868,6861,6906,7012,6973,7044,6935,6964,7089,6988,6160,NA,NA,NA,NA,NA,NA,NA
13065,13,13065,"Clinch County, Georgia",Georgia,Clinch County,13,13065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6798,6798,6788,6750,6715,6802,6831
13067,13,67,Cobb County,Georgia,Cobb County,13,067,3,5,196793,207100,215100,227700,242900,249600,256500,265800,275800,287300,297718,311490,321994,336050,353206,372905,392568,411475,428287,439006,450812,463136,476494,494889,508747,524760,536992,551288,566060,583541,612633,626934,637772,643816,652358,661442,679699,691496,704822,714692,447745,NA,NA,NA,NA,NA,NA,NA
13067,13,13067,"Cobb County, Georgia",Georgia,Cobb County,13,13067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688078,688076,689692,697682,708036,718208,730981
13069,13,69,Coffee County,Georgia,Coffee County,13,069,3,5,22828,23600,24100,25000,25400,25800,26000,25900,25900,26500,26894,27095,27360,27611,27887,28337,29027,29116,29182,29403,29719,30024,30715,31232,31939,32582,33080,33800,34230,34958,37566,38194,38526,38756,38835,39145,39881,40353,40742,40868,29592,NA,NA,NA,NA,NA,NA,NA
13069,13,13069,"Coffee County, Georgia",Georgia,Coffee County,13,13069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42356,42356,42738,42964,43093,43129,42811
13071,13,71,Colquitt County,Georgia,Colquitt County,13,071,3,5,32298,32800,33200,33700,34300,34200,34000,34300,34300,35000,35376,35770,36205,36238,36445,36500,36709,36987,36915,36681,36708,36750,37092,37341,37635,38192,38777,39601,40229,40724,42132,42289,42706,42801,43275,43342,44101,44718,45410,45596,36645,NA,NA,NA,NA,NA,NA,NA
13071,13,13071,"Colquitt County, Georgia",Georgia,Colquitt County,13,13071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45498,45498,45648,45804,46095,46288,46102
13073,13,73,Columbia County,Georgia,Columbia County,13,073,3,5,22327,23100,23300,25600,27200,29800,32500,34200,35300,38700,40118,41797,43509,45704,48547,51891,55600,58489,60746,63236,66910,70105,72669,76616,80051,83954,86087,88695,90854,93312,89781,91533,94135,96391,99585,102209,105558,108859,110491,112958,66031,NA,NA,NA,NA,NA,NA,NA
13073,13,13073,"Columbia County, Georgia",Georgia,Columbia County,13,13073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124053,124053,124955,128753,132556,136287,139257
13075,13,13075,"Cook County, Georgia",Georgia,Cook County,13,13075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17212,17212,17226,16979,16859,17025,17214
13075,13,75,Cook County,Georgia,Cook County,13,075,3,5,12129,12100,12600,12800,12900,12900,13000,13000,13200,13300,13490,13561,13651,13570,13577,13634,13570,13613,13635,13567,13457,13476,13463,13776,13994,14063,14297,14626,14988,15197,15840,15804,15880,15896,16110,16277,16231,16401,16581,16603,13456,NA,NA,NA,NA,NA,NA,NA
